Age,qxm,exm,qxf,exf
0,0.00344,81.22006,0.00295,85.26358
1,0.00024,80.50015,0.0002,84.51544
2,0.00016,79.51936,0.00011,83.53237
3,0.00013,78.53172,0.0001,82.54112
4,0.0001,77.54157,0.00009,81.54908
5,0.00008,76.54932,0.00008,80.55613
6,0.00008,75.55566,0.00007,79.56228
7,0.00007,74.56144,0.00006,78.56777
8,0.00007,73.56655,0.00006,77.57276
9,0.00007,72.57154,0.00006,76.57739
10,0.00007,71.57637,0.00006,75.58166
11,0.00008,70.58117,0.00006,74.58588
12,0.0001,69.5866,0.00007,73.59039
13,0.00013,68.59334,0.00009,72.59567
14,0.00018,67.60217,0.00011,71.60221
15,0.00024,66.61404,0.00014,70.61038
16,0.00032,65.63002,0.00017,69.6203
17,0.00041,64.6511,0.0002,68.63197
18,0.00047,63.67732,0.00022,67.64526
19,0.00052,62.7072,0.00023,66.65972
20,0.00056,61.73982,0.00024,65.67491
21,0.00058,60.77406,0.00025,64.69053
22,0.0006,59.80915,0.00025,63.70627
23,0.00061,58.84463,0.00025,62.72189
24,0.00063,57.88043,0.00025,61.7373
25,0.00064,56.91654,0.00025,60.75239
26,0.00066,55.95277,0.00025,59.76732
27,0.00068,54.98922,0.00026,58.78224
28,0.0007,54.02612,0.00028,57.79751
29,0.00073,53.06385,0.00029,56.81335
30,0.00076,52.10232,0.00032,55.82996
31,0.00079,51.14156,0.00034,54.84748
32,0.00082,50.18149,0.00036,53.86591
33,0.00085,49.22217,0.00039,52.88535
34,0.00089,48.26366,0.00042,51.90578
35,0.00093,47.30612,0.00046,50.92756
36,0.00097,46.34958,0.00051,49.95095
37,0.00102,45.39419,0.00055,48.97612
38,0.00108,44.44009,0.0006,48.00298
39,0.00116,43.48765,0.00065,47.03147
40,0.00125,42.53738,0.0007,46.06157
41,0.00135,41.58991,0.00077,45.0935
42,0.00146,40.64545,0.00085,44.12777
43,0.00158,39.7042,0.00094,43.16475
44,0.00172,38.76638,0.00103,42.20474
45,0.00186,37.83215,0.00113,41.24784
46,0.00201,36.90164,0.00122,40.29379
47,0.00218,35.97484,0.00133,39.34257
48,0.00236,35.05226,0.00145,38.39442
49,0.00256,34.1341,0.00157,37.44941
50,0.00278,33.22057,0.0017,36.50756
51,0.00302,32.31191,0.00184,35.56891
52,0.00327,31.40828,0.00199,34.63344
53,0.00354,30.50967,0.00216,33.70137
54,0.00383,29.61616,0.00233,32.77307
55,0.00415,28.72795,0.00251,31.84836
56,0.00452,27.84549,0.00271,30.92724
57,0.00493,26.96952,0.00294,30.01005
58,0.00537,26.10061,0.00318,29.09713
59,0.00584,25.23877,0.00345,28.18844
60,0.00633,24.38409,0.00373,27.28422
61,0.00686,23.53624,0.00404,26.38457
62,0.00745,22.69521,0.00439,25.48967
63,0.00811,21.86177,0.00476,24.59978
64,0.0088,21.03635,0.00516,23.71501
65,0.00953,20.21857,0.00561,22.83549
66,0.01034,19.40824,0.00609,21.96136
67,0.01126,18.60573,0.00666,21.0928
68,0.01231,17.81185,0.00733,20.23088
69,0.01348,17.02754,0.00811,19.37659
70,0.01479,16.25329,0.00898,18.53081
71,0.01624,15.48963,0.00993,17.69407
72,0.01791,14.737,0.01103,16.86651
73,0.0198,13.99649,0.01232,16.04898
74,0.02197,13.269,0.01383,15.24287
75,0.02448,12.55569,0.01557,14.44954
76,0.02734,11.85807,0.01755,13.66998
77,0.03064,11.17712,0.01987,12.90513
78,0.03442,10.51433,0.02261,12.15645
79,0.03871,9.87099,0.02581,11.42586
80,0.0436,9.24804,0.0295,10.71504
81,0.0491,8.64655,0.03378,10.02522
82,0.05531,8.06689,0.03868,9.35785
83,0.06241,7.50953,0.04434,8.71394
84,0.07062,6.97574,0.05084,8.09465
85,0.08002,6.46733,0.05838,7.50097
86,0.09068,5.98588,0.06718,6.93453
87,0.10259,5.53251,0.07732,6.39739
88,0.11596,5.10744,0.08885,5.891
89,0.13107,4.7115,0.10191,5.41609
90,0.14776,4.34661,0.11675,4.97338
91,0.16589,4.0137,0.13349,4.56416
92,0.18517,3.71321,0.15202,4.18999
93,0.20498,3.44488,0.17236,3.85155
94,0.22492,3.2067,0.19406,3.55008
95,0.24125,2.99654,0.21036,3.28654
96,0.25685,2.79673,0.22574,3.03277
97,0.27413,2.59839,0.2535,2.77497
98,0.29458,2.40018,0.27928,2.55231
99,0.32261,2.20436,0.30524,2.35586
100,0.35411,2.0295,0.33098,2.18319
